id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1169351071878143762,Monolocale in centro a Firenze!,392872021,Fiorella,,Centro Storico,43.77759349999999,11.2540069,Entire home/apt,89,1,1,2024-06-08,1,2,80,1,
1169351704057554864,Rare find city center 4+2 guests with roof terrace,231637676,Daniele,,Centro Storico,43.76232,11.2613,Entire home/apt,279,2,0,,,3,222,0,
1169354873878175598,Tuscan Apt in the heart of Florence + FREE garage,16693046,Donatella,,Centro Storico,43.77893479999999,11.251707,Entire home/apt,170,2,0,,,22,60,0,048017LTI0629
1169370167115248664,Graziosa dimora + garage accanto al centro,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,100,2,0,,,22,306,0,048017LTI14478
1169385630544396723,Lovely apartment next to the city centre + garage,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,100,2,0,,,22,314,0,048017LTN0179
1169392708316378860,Atmosfera toscana vicino al centro + garage,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,90,2,0,,,22,274,0,048017LTN6839
1169397526801516438,Glamorous Apt with garage next to the city centre,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,120,2,0,,,22,244,0,048017LTI13815
1169401532587757121,"Saponai Top, big apartment",23141500,Federico,,Centro Storico,43.76871156944491,11.258071269018078,Entire home/apt,196,3,0,,,9,52,0,
1169430889891764681,Attractive apt next to the city centre + garage,16693046,Donatella,,Centro Storico,43.7808851,11.2388598,Entire home/apt,120,2,0,,,22,296,0,048017LTI13813
1169434678748905439,Apartamento Inghirami 14,580869589,Jiewen,,Campo di Marte,43.7847027,11.2798675,Entire home/apt,70,2,1,2024-06-16,1,1,9,1,
1169437904740789168,Amazing & bright Apt next to the centre + garage,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,120,2,0,,,22,305,0,048017LTI13811
1169440995355837110,Santa Croce Rainbow,25744299,Ivan,,Centro Storico,43.7690069,11.2634957,Entire home/apt,120,2,0,,,1,55,0,
1169444353997880799,Gorgeous Apt + garage next to the city centre,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,130,2,0,,,22,267,0,048017LTN13647
1169451578035110676,Country chic next to the city centre + garage,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,120,2,0,,,22,279,0,048017LTN4993
1169457030496991167,Appartamento contemporaneo + garage,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,120,2,0,,,22,318,0,048017LTN8498
1169462604339507465,COZY Apt + garage next to the city centre,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,125,2,0,,,22,300,0,048017LTI13814
