Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
113835,770986098517479,May,IN,3692.2457,213.15,29,39,1,,41,2,1,2,3,"Native, Born In US",3,Child day care services (6244),2540,"Private, For Profit",No,No,Employed-At Work,1,7.3500000000000005,1.9947003132247454
114018,80996073717099,May,IA,1571.0898,410.0,40,42,1,,24,2,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,10.25,2.327277705584417
114118,909329870429101,May,IA,1158.6112,230.76,40,39,1,,34,2,1,2,3,"Native, Born In US",4,Elementary and secondary schools (6111),2540,"Private, Nonprofit",No,No,Employed-At Work,1,5.769,1.7524987552747524
114179,999460878970971,May,IA,1111.4207,279.72,36,42,1,,45,2,5,2,10,"Native, Born In US",4,Child day care services (6244),2540,"Private, Nonprofit",No,No,Employed-At Work,1,7.7700000000000005,2.050270164379556
114287,725029938139040,May,IA,1297.4936,594.0,40,39,1,,54,2,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - State,Yes,,Employed-At Work,1,14.85,2.6979998652487085
114403,296923400014088,May,KS,1999.6268,228.0,19,40,1,,20,2,7,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,12.0,2.4849066497880004
114404,296923400014088,May,KS,1999.6268,216.0,18,40,1,,20,2,7,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,12.0,2.4849066497880004
114526,920869470849206,May,KS,1414.038,138.46,30,40,1,,38,2,1,1,4,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,4.615333333333334,1.529384093587724
114609,807104992101570,May,KS,1423.7015,1110.0,37,40,1,,43,2,1,1,4,"Native, Born In US",4,Elementary and secondary schools (6111),2540,"Private, For Profit",No,No,Employed-At Work,1,30.0,3.4011973816621555
114712,639297749100852,May,KY,1986.4218,769.23,40,39,2,,44,1,1,1,3,"Native, Born In US",6,Elementary and secondary schools (6111),2540,Government - State,Yes,,Employed-At Work,0,19.23075,2.9565105604002095
114834,912449047001506,May,KY,2151.0278,380.0,40,40,1,,36,2,1,2,3,"Native, Born In US",6,Child day care services (6244),2540,Government - State,No,No,Employed-At Work,1,9.5,2.2512917986064953
115035,71122310994593,May,KY,2140.6227,429.2,37,40,1,,41,2,5,3,10,"Native, Born In US",6,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,11.6,2.451005098112319
115173,320200052538412,May,LA,3076.7524,230.0,40,40,1,,32,2,1,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,5.75,1.749199854809259
115872,33293769400814,May,MD,1756.4917,200.0,20,39,1,,52,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2540,"Private, Nonprofit",No,No,Employed-At Work,1,10.0,2.302585092994046
116043,342544053905373,May,MD,1749.1844,412.5,40,43,2,,25,2,7,0,0,"Native, Born In US",5,"Colleges and universities, including junior colleges (6112, 6113)",2540,Government - State,No,No,Employed-At Work,1,10.3125,2.3333567516607996
116812,503907592697235,May,MA,2916.7546,358.0,32,43,1,,42,2,7,2,3,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,11.1875,2.414797083600974
117041,170960091123409,May,MI,3243.9982,412.0,37,39,1,,45,2,1,1,4,"Native, Born In US",3,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,11.135135135135135,2.410105436705302
117137,410962099423979,May,MI,3875.0321,1250.0,40,39,1,,54,2,1,0,0,"Native, Born In US",3,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,31.25,3.4420193761824107
117568,720707939185459,May,MN,2345.1411,557.69,40,40,5,,41,1,7,2,3,"Foreign Born, Not a US Citizen",4,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,0,13.942250000000001,2.6349237983336518
117775,725017971239700,May,MN,1852.8512,390.0,30,44,4,,57,2,1,0,0,"Foreign Born, US Cit By Naturalization",4,"Other schools, instruction, and educational services (6116, 6117)",2540,"Private, For Profit",No,No,Employed-At Work,1,13.0,2.5649493574615367
118053,202077104099781,May,MN,1609.1689,230.76,35,43,1,,37,2,1,2,5,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,6.5931428571428565,1.886030147899275
